merged_spelling,ipa,langid,spelling_pretrain,langid_pretrain
{geo}ააგო,ɑ ɑ ɡ ɔ,0,ააგო,0
{geo}აადვილებს,ɑ ɑ d v i l ɛ b s,0,აადვილებს,0
{geo}აალებული,ɑ ɑ l ɛ b u l i,0,აალებული,0
{geo}აბა,ɑ b ɑ,0,აბა,0
{geo}აბაზანა,ɑ b ɑ z ɑ n ɑ,0,აბაზანა,0
{geo}აბანო,ɑ b ɑ n ɔ,0,აბანო,0
{geo}აბარებს,ɑ b ɑ r ɛ b s,0,აბარებს,0
{geo}აბედი,ɑ b ɛ d i,0,აბედი,0
{geo}აბზინდა,ɑ b z i n d ɑ,0,აბზინდა,0
{geo}აბი,ɑ b i,0,აბი,0
{geo}აბინძურებს,ɑ b i n d͡z u r ɛ b s,0,აბინძურებს,0
{geo}აბონენტი,ɑ b ɔ n ɛ n tʼ i,0,აბონენტი,0
{geo}აბრაგი,ɑ b r ɑ ɡ i,0,აბრაგი,0
{geo}აბრალებს,ɑ b r ɑ l ɛ b s,0,აბრალებს,0
{geo}აბრამიშვილი,ɑ b r ɑ m i ʃ v i l i,0,აბრამიშვილი,0
{geo}აბრევი,ɑ b r ɛ v i,0,აბრევი,0
{geo}აბრევიატურა,ɑ b r ɛ v i ɑ tʼ u r ɑ,0,აბრევიატურა,0
{geo}აბრეშუმი,ɑ b r ɛ ʃ u m i,0,აბრეშუმი,0
{geo}აბსოლუტურად,ɑ b s ɔ l u tʼ u r ɑ d,0,აბსოლუტურად,0
{geo}აბსტრაქტული,ɑ b s tʼ r ɑ kʰ tʼ u l i,0,აბსტრაქტული,0
{geo}აბსტრაქცია,ɑ b s tʼ r ɑ kʰ t͡s i ɑ,0,აბსტრაქცია,0
{geo}აბსურდულად,ɑ b s u r d u l ɑ d,0,აბსურდულად,0
{geo}აბსურდული,ɑ b s u r d u l i,0,აბსურდული,0
{geo}აგდება,ɑ ɡ d ɛ b ɑ,0,აგდება,0
{geo}აგდებს,ɑ ɡ d ɛ b s,0,აგდებს,0
{geo}აგებინებს,ɑ ɡ ɛ b i n ɛ b s,0,აგებინებს,0
{geo}აგენტად,ɑ ɡ ɛ n tʼ ɑ d,0,აგენტად,0
{geo}აგენტი,ɑ ɡ ɛ n tʼ i,0,აგენტი,0
{geo}აგენტის,ɑ ɡ ɛ n tʼ i s,0,აგენტის,0
{geo}აგენტმა,ɑ ɡ ɛ n tʼ m ɑ,0,აგენტმა,0
{geo}აგენტო,ɑ ɡ ɛ n tʼ ɔ,0,აგენტო,0
{geo}აგენტს,ɑ ɡ ɛ n tʼ s,0,აგენტს,0
{geo}აგენტურა,ɑ ɡ ɛ n tʼ u r ɑ,0,აგენტურა,0
{geo}აგვირგვინებს,ɑ ɡ v i r ɡ v i n ɛ b s,0,აგვირგვინებს,0
{geo}აგვისტომ,ɑ ɡ v i s tʼ ɔ m,0,აგვისტომ,0
{geo}აგვისტოს,ɑ ɡ v i s tʼ ɔ s,0,აგვისტოს,0
{geo}აგიტატორი,ɑ ɡ i tʼ ɑ tʼ ɔ r i,0,აგიტატორი,0
{geo}აგნებს,ɑ ɡ n ɛ b s,0,აგნებს,0
{geo}აგონდება,ɑ ɡ ɔ n d ɛ b ɑ,0,აგონდება,0
{geo}აგორებს,ɑ ɡ ɔ r ɛ b s,0,აგორებს,0
{geo}აგრესიულად,ɑ ɡ r ɛ s i u l ɑ d,0,აგრესიულად,0
{geo}აგრესიული,ɑ ɡ r ɛ s i u l i,0,აგრესიული,0
{geo}აგრესიულობა,ɑ ɡ r ɛ s i u l ɔ b ɑ,0,აგრესიულობა,0
{geo}აგრესორი,ɑ ɡ r ɛ s ɔ r i,0,აგრესორი,0
{geo}აგროვებს,ɑ ɡ r ɔ v ɛ b s,0,აგროვებს,0
{geo}აგრძელებ,ɑ ɡ r d͡z ɛ l ɛ b,0,აგრძელებ,0
{geo}აგრძელებს,ɑ ɡ r d͡z ɛ l ɛ b s,0,აგრძელებს,0
{geo}აგულაშვილი,ɑ ɡ u l ɑ ʃ v i l i,0,აგულაშვილი,0
{geo}ადამიანები,ɑ d ɑ m i ɑ n ɛ b i,0,ადამიანები,0
{geo}ადამიანი,ɑ d ɑ m i ɑ n i,0,ადამიანი,0
{geo}ადამიანით,ɑ d ɑ m i ɑ n i tʰ,0,ადამიანით,0
{geo}ადამიანმა,ɑ d ɑ m i ɑ n m ɑ,0,ადამიანმა,0
{geo}ადამიანს,ɑ d ɑ m i ɑ n s,0,ადამიანს,0
{geo}ადამიანურად,ɑ d ɑ m i ɑ n u r ɑ d,0,ადამიანურად,0
{geo}ადამიანური,ɑ d ɑ m i ɑ n u r i,0,ადამიანური,0
{geo}ადაპტაცია,ɑ d ɑ pʼ tʼ ɑ t͡s i ɑ,0,ადაპტაცია,0
{geo}ადარებს,ɑ d ɑ r ɛ b s,0,ადარებს,0
