merged_spelling,ipa,langid,spelling_pretrain,langid_pretrain
{bul}абаджиите,a b ə d͡ʒ i i t̪ ɛ,0,абаджиите,0
{bul}абонаментно,a b o n ə m ɛ n t̪ n o,0,абонаментно,0
{bul}абонати,a b o n a t̪ i,0,абонати,0
{bul}абонатите,a b o n a t̪ i t̪ ɛ,0,абонатите,0
{bul}аборигените,a b o ɾ i ɡʲ ɛ n i t̪ ɛ,0,аборигените,0
{bul}абсурдна,a p s u r d̪ n ə,0,абсурдна,0
{bul}авангардни,a v ə n ɡ a r d̪ n i,0,авангардни,0
{bul}авантюристично,a v ə n tʲ u ɾ i s t̪ i t͡ʃ n o,0,авантюристично,0
{bul}авантюристка,ɐ v ɐ n t̪ j u r i s t̪ k ɐ,0,авантюристка,0
{bul}аварийно,a v ə r i j n o,0,аварийно,0
{bul}аварийното,a v ə r i j n o t̪ o,0,аварийното,0
{bul}австралиец,ə f s t̪ r ə ɫ i ɛ t͡s,0,австралиец,0
{bul}австрийка,ə f s t̪ r i j k ə,0,австрийка,0
{bul}автономни,a f t̪ o n ɔ m n i,0,автономни,0
{bul}автор,a f t̪ o r,0,автор,0
{bul}авторка,a f t̪ o r k ə,0,авторка,0
{bul}агрономка,ə ɡ r o n ɔ m k ə,0,агрономка,0
{bul}адекватност,ə d̪ ɛ k v a t̪ n o s t̪,0,адекватност,0
{bul}адмирал,ə d̪ m i r a ɫ,0,адмирал,0
{bul}адресирана,a d̪ r ɛ s i ɾ ə n ə,0,адресирана,0
{bul}адресират,a d̪ r ɛ s i ɾ ə t̪,0,адресират,0
{bul}азбест,a z b ɛ s t̪,0,азбест,0
{bul}активист,ə k t̪ i v i s t̪,0,активист,0
{bul}албанец,ə ɫ b a n ɛ t͡s,0,албанец,0
{bul}алгоритъм,ə ɫ ɡ o r i t̪ ə m,0,алгоритъм,0
{bul}анатемосваната,a n ə t̪ ɛ m ɔ s v ə n ə t̪ ə,0,анатемосваната,0
{bul}анатемосваното,a n ə t̪ ɛ m ɔ s v ə n o t̪ o,0,анатемосваното,0
