merged_spelling,ipa,langid,spelling_pretrain,langid_pretrain
{bul}абаджиите,a b ə d͡ʒ i i t̪ ɛ,0,абаджиите,0
{bul}абажура,a b ə ʒ u ɾ ə,0,абажура,0
{bul}абажури,a b ə ʒ u ɾ i,0,абажури,0
{bul}абата,ə b a t̪ ə,0,абата,0
{bul}абатство,ə b a t̪ s t̪ v o,0,абатство,0
{bul}абатството,a b a t̪ s t̪ v o t̪ o,0,абатството,0
{bul}абдала,a b d̪ a ɫ ə,0,абдала,0
{bul}абдикации,a b d̪ i k t͡s s i i,0,абдикации,0
{bul}абдикация,a b d̪ i k t͡s i j ə,0,абдикация,0
{bul}абдикират,a b d̪ i kʲ i r ə t̪,0,абдикират,0
{bul}абисинец,ə b i s i n ɛ t͡s,0,абисинец,0
{bul}абисинци,a b i s i n t͡s i,0,абисинци,0
{bul}абите,ə b i t̪ ɛ,0,абите,0
{bul}абитуриенти,a b i t̪ u ɾ i ɛ n t̪ i,0,абитуриенти,0
{bul}абитуриентите,a b i t̪ u ɾ i ɛ n t̪ i t̪ ɛ,0,абитуриентите,0
{bul}абитуриентът,a b i t̪ u ɾ i ɛ n t̪ ə t̪,0,абитуриентът,0
{bul}абонамент,ə b o n ə m ɛ n t̪,0,абонамент,0
{bul}абонаментна,a b o n ə m ɛ n t̪ n ə,0,абонаментна,0
{bul}абонаментни,a b o n ə m ɛ n t̪ n i,0,абонаментни,0
{bul}абонаментните,a b o n ə m ɛ n t̪ n i t̪ ɛ,0,абонаментните,0
{bul}абонаментният,a b o n ə m ɛ n t̪ n i j ə t̪,0,абонаментният,0
{bul}абонаментно,a b o n ə m ɛ n t̪ n o,0,абонаментно,0
{bul}абонаментното,a b o n ə m ɛ n t̪ n o t̪ o,0,абонаментното,0
{bul}абоната,a b o n a t̪ ə,0,абоната,0
{bul}абонати,a b o n a t̪ i,0,абонати,0
{bul}абонатите,a b o n a t̪ i t̪ ɛ,0,абонатите,0
{bul}абонатът,a b o n a t̪ ə t̪,0,абонатът,0
{bul}аборигени,a b o ɾ i ɡʲ ɛ n i,0,аборигени,0
{bul}аборигените,a b o ɾ i ɡʲ ɛ n i t̪ ɛ,0,аборигените,0
{bul}аборигенска,a b o ɾ i ɡʲ ɛ n s k ə,0,аборигенска,0
{bul}аборигенските,a b o ɾ i ɡ ɛ n s kʲ i t̪ ɛ,0,аборигенските,0
{bul}аборигенското,a b o ɾ i ɡʲ ɛ n s k o t̪ o,0,аборигенското,0
{bul}аборигенчето,a b o ɾ i ɡʲ ɛ n t͡ʃ ɛ t̪ o,0,аборигенчето,0
{bul}абревиатурата,a b r ɛ v i ə t̪ u ɾ ə t̪ ə,0,абревиатурата,0
{bul}абревиатурите,a b r ɛ v i ə t̪ u ɾ i t̪ ɛ,0,абревиатурите,0
{bul}абсолвентите,a p s o ɫ v ɛ n t̪ i t̪ ɛ,0,абсолвентите,0
{bul}абсолвентка,a p s o ɫ v ɛ n t̪ k ə,0,абсолвентка,0
{bul}абсолвентският,a p s o ɫ v ɛ n s kʲ i j ə t̪,0,абсолвентският,0
{bul}абсолвентът,a p s o ɫ v ɛ n t̪ ə t̪,0,абсолвентът,0
{bul}абсолютен,a p s ɔ lʲ u t̪ ɛ n,0,абсолютен,0
{bul}абсолютна,a p s o lʲ u t̪ n ə,0,абсолютна,0
{bul}абсолютната,a p s o lʲ u t̪ n ə t̪ ə,0,абсолютната,0
{bul}абсолютни,a p s o lʲ u t̪ n i,0,абсолютни,0
{bul}абсолютните,a p s o lʲ u t̪ n i t̪ ɛ,0,абсолютните,0
{bul}абсолютния,a p s o lʲ u t̪ n i j ə,0,абсолютния,0
{bul}абсолютният,a p s o lʲ u t̪ n i j ə t̪,0,абсолютният,0
{bul}абсолютно,a p s ɔ lʲ u t̪ n ɔ,0,абсолютно,0
{bul}абсолютното,a p s o lʲ u t̪ n o t̪ o,0,абсолютното,0
{bul}абсорбира,a p s o r b i r ə,0,абсорбира,0
{bul}абсорбирал,a p s o r b i r ə ɫ,0,абсорбирал,0
{bul}абсорбиралите,a p s o r b i r ə ɫ i t̪ ɛ,0,абсорбиралите,0
{bul}абсорбират,a p s o r b i r ə t̪,0,абсорбират,0
{bul}абсорбирах,a p s o r b i r ə x,0,абсорбирах,0
{bul}абсорбирахте,a p s o r b i r ə x t̪ ɛ,0,абсорбирахте,0
{bul}абсорбиращ,a p s o r b i r ə ʃ t̪,0,абсорбиращ,0
{bul}абстрактна,a p s t̪ r a k n ə,0,абстрактна,0
{bul}абстрактната,a p s t̪ r a k n ə t̪ ə,0,абстрактната,0
{bul}абстрактни,a p s t̪ r a k n i,0,абстрактни,0
{bul}абстрактните,a p s t̪ r a k n i t̪ ɛ,0,абстрактните,0
{bul}абстрактния,a p s t̪ r a k n i j ə,0,абстрактния,0
{bul}абстрактно,a p s t̪ r a k t̪ n o,0,абстрактно,0
{bul}абстрактното,a p s t̪ r a k n o t̪ o,0,абстрактното,0
{bul}абсурден,ə p s u r d̪ ɛ n,0,абсурден,0
{bul}абсурдна,a p s u r d̪ n ə,0,абсурдна,0
{bul}абсурдната,a p s u r d̪ n ə t̪ ə,0,абсурдната,0
{bul}абсурдни,a p s u r d̪ n i,0,абсурдни,0
{bul}абсурдните,a p s u r d̪ n i t̪ ɛ,0,абсурдните,0
{bul}абсурдния,a p s u r d̪ n i j ə,0,абсурдния,0
{bul}абсурдният,a p s u r d̪ n i j ə t̪,0,абсурдният,0
{bul}абсурдно,a p s u r d̪ n o,0,абсурдно,0
{bul}абсурдното,a p s u r d̪ n o t̪ o,0,абсурдното,0
{bul}авангарден,ə v ə n ɡ a r d̪ ɛ n,0,авангарден,0
{bul}авангардна,a v ə n ɡ a r d̪ n ə,0,авангардна,0
{bul}авангардната,a v ə n ɡ a r d̪ n ə t̪ ə,0,авангардната,0
{bul}авангардни,a v ə n ɡ a r d̪ n i,0,авангардни,0
{bul}авангардните,a v ə n ɡ a r d̪ n i t̪ ɛ,0,авангардните,0
{bul}авангардния,a v ə n ɡ a r d̪ n i j ə,0,авангардния,0
{bul}авангардно,a v ə n ɡ a r d̪ n o,0,авангардно,0
{bul}аванс,ə v a n s,0,аванс,0
{bul}авансираната,a v ə n s i ɾ ə n ə t̪ ə,0,авансираната,0
{bul}авансираха,a v ə n s i ɾ ə x ə,0,авансираха,0
{bul}авансиращата,a v ə n s i ɾ ə ʃ t̪ ə t̪ ə,0,авансиращата,0
{bul}авансиращия,a v ə n s i ɾ ə ʃ t̪ i j ə,0,авансиращия,0
{bul}авансиращо,a v ə n s i ɾ ə ʃ t̪ o,0,авансиращо,0
{bul}авансови,a v a n s o v i,0,авансови,0
{bul}авансовите,a v a n s o v i t̪ ɛ,0,авансовите,0
{bul}авансовия,a v a n s o v i j ə,0,авансовия,0
{bul}авансово,a v a n s o v o,0,авансово,0
{bul}авансовото,a v a n s o v o t̪ o,0,авансовото,0
{bul}авантюрист,ɐ v ɐ n t̪ j u r i s t̪,0,авантюрист,0
{bul}авантюристичните,a v ə n tʲ u ɾ i s t̪ i t͡ʃ n i t̪ ɛ,0,авантюристичните,0
{bul}авантюристичния,a v ə n tʲ u ɾ i s t̪ i t͡ʃ n i j ə,0,авантюристичния,0
{bul}авантюристичният,a v ə n tʲ u ɾ i s t̪ i t͡ʃ n i j ə t̪,0,авантюристичният,0
